timestamp,ax,ay,az,label,subject_id
1781611456773,-2796,12420,1420,4,A
1781611456773,-2660,10204,-2676,4,A
1781611456775,-1768,8556,-3792,4,A
1781611456776,-2468,7336,-6368,4,A
1781611456777,-1584,8740,-3908,4,A
1781611456778,-1340,9448,-848,4,A
1781611456778,-2040,11292,4388,4,A
1781611456779,-4980,21232,13960,4,A
1781611456779,-7140,27324,19540,4,A
1781611456779,-4476,26568,21748,4,A
1781611456781,-984,25296,19736,4,A
1781611456782,-2512,20012,12456,4,A
1781611456783,-1620,13952,3920,4,A
1781611456784,-332,9752,-2096,4,A
1781611456784,-84,6192,-10044,4,A
1781611456785,312,5656,-12604,4,A
1781611456786,-1796,7880,-9688,4,A
1781611456787,-1884,9448,-5752,4,A
1781611456788,-2044,10632,9068,4,A
1781611456789,-9876,32767,30124,4,A
1781611456789,-15692,32767,25660,4,A
1781611456791,-3496,22764,15452,4,A
1781611456791,-12,12212,6744,4,A
1781611456792,2332,7224,-960,4,A
1781611456793,2248,5756,-6244,4,A
1781611456794,1976,5608,-8456,4,A
1781611456794,1172,6480,-10552,4,A
1781611456795,988,7304,-8648,4,A
1781611456796,-368,7348,1412,4,A
1781611456797,-6336,21172,18928,4,A
1781611456797,-15048,32767,27740,4,A
1781611456798,-10704,31800,23300,4,A
1781611456799,-2612,22540,16140,4,A
1781611456800,-376,14332,8388,4,A
1781611456800,1280,9168,608,4,A
1781611456801,608,4540,-9928,4,A
1781611456801,1244,2912,-15512,4,A
1781611456802,1072,6740,-13340,4,A
1781611456803,-300,6440,-8324,4,A
1781611456803,-2032,6652,3244,4,A
1781611456804,-10708,27808,26140,4,A
1781611456805,-17664,32767,32108,4,A
1781611456805,-6968,27748,23828,4,A
1781611456807,64,17672,15792,4,A
1781611456807,1276,13000,8760,4,A
1781611456808,1760,8632,1264,4,A
1781611456809,764,6252,-7652,4,A
1781611456809,1372,5600,-12576,4,A
1781611456811,184,6576,-10992,4,A
1781611456812,-1536,8708,-10928,4,A
1781611456812,-1412,7828,-7828,4,A
1781611456813,-1560,9836,740,4,A
1781611456814,-6920,22776,16272,4,A
1781611456814,-12444,32767,21804,4,A
1781611456815,-6192,26128,18100,4,A
1781611456816,260,18928,13644,4,A
1781611456816,532,16124,8744,4,A
1781611456817,192,12936,2932,4,A
1781611456818,-1800,12348,604,4,A
1781611456818,-1904,11196,400,4,A
1781611456818,-2824,13752,2444,4,A
1781611456819,-3508,16424,4088,4,A
1781611456820,-2884,15208,5068,4,A
1781611456820,-2688,16168,5896,4,A
1781611456822,-2548,17116,6412,4,A
1781611456822,-4316,19940,8576,4,A
1781611456823,-3136,18508,12392,4,A
1781611456824,-4108,20852,13252,4,A
1781611456824,-2784,17628,9832,4,A
1781611456825,-480,11160,3096,4,A
1781611456825,620,9120,-1144,4,A
1781611456826,-28,9064,-3640,4,A
1781611456827,-428,8980,-6260,4,A
1781611456827,-1276,9144,-6404,4,A
1781611456828,-1796,9308,-1676,4,A
1781611456829,-4352,17144,10720,4,A
1781611456830,-8732,28188,23124,4,A
1781611456830,-8452,30372,21768,4,A
1781611456831,-2172,23476,16616,4,A
1781611456831,656,18112,11400,4,A
1781611456832,2552,12528,6272,4,A
1781611456832,2604,10288,1104,4,A
1781611456833,280,7280,-7456,4,A
1781611456834,-1248,8360,-8868,4,A
1781611456834,-1316,10580,-6544,4,A
1781611456835,-1692,10764,-4612,4,A
1781611456835,-2016,11312,716,4,A
1781611456835,-5428,23072,15812,4,A
1781611456837,-8744,32767,23824,4,A
1781611456837,-3740,27812,17356,4,A
1781611456837,1316,17344,9256,4,A
1781611456838,3252,10472,2452,4,A
1781611456838,2264,7668,-4324,4,A
1781611456839,184,5692,-9936,4,A
1781611456840,-1932,7240,-11004,4,A
1781611456840,-1784,6920,-9960,4,A
1781611456857,-956,7748,-6540,4,A
1781611456879,-2528,10788,1632,4,A
1781611456901,-8724,28632,17464,4,A
1781611456922,-11068,32767,23640,4,A
1781611456943,-3760,30384,20156,4,A
1781611456965,-1144,24256,14848,4,A
1781611456987,-40,17664,9544,4,A
1781611457008,-924,13292,3084,4,A
1781611457030,-804,7828,-5456,4,A
1781611457052,-728,4068,-12904,4,A
1781611457072,288,3748,-13972,4,A
1781611457094,524,5340,-13680,4,A
1781611457116,-384,6216,-11916,4,A
1781611457137,348,6772,-1596,4,A
1781611457159,-3236,24684,23716,4,A
1781611457181,-14428,32767,32767,4,A
1781611457202,-6924,32767,23124,4,A
1781611457223,180,20380,14376,4,A
1781611457245,3528,12284,6140,4,A
